,Country_of_Origin,Farm_Name,Mill,Company,Region,Producer,Number_of_Bags,Bag_Weight,In-Country_Partner,Owner,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Overall,Total_Cup_Points,Moisture_Percentage,Category_One_Defects,Quakers,Color,Category_Two_Defects
1293,Honduras,various,cafes finos de exportacion s. de r.l.,cafes finos de exportacion s de r.l.,intibuca,Cooperativa Coaquil,275,2.0,Instituto Hondureño del Café,CAFES FINOS DE EXPORTACION S DE R.L.,Pacas,Washed / Wet,7.0,7.17,6.83,7.17,7.0,7.17,8.0,8.0,8.0,7.08,73.42,0.11,1,0.0,green,16
1294,Mexico,various,u.c.i.r.i.,upctiz zapoteca s.p.r. de r.l.,sierra alta mixe y zapoteca,various small producers,280,69.0,Specialty Coffee Association,Kurt Kappeli,Typica,Washed / Wet,7.08,7.08,6.92,7.08,6.92,6.92,8.0,8.0,8.0,6.92,72.92,0.11,1,0.0,other,1
1295,Colombia,Other,Other,costco wholesale industries,Other,Other,1,2.26796,Specialty Coffee Association,Honor dela Fuente,Other,Natural / Dry,8.0,7.33,7.75,7.33,7.42,7.67,6.67,6.67,6.67,7.33,72.83,0.11,0,0.0,blue-green,15
1296,United States (Hawaii),Other,Other,kona pacific farmers cooperative,kona,Other,11,45.3592,Specialty Coffee Association,Eileen Koyanagi,Hawaiian Kona,Natural / Dry,6.92,6.92,6.92,7.5,7.58,7.17,6.67,6.67,9.33,6.92,72.58,0.11,5,0.0,green,9
1297,Other,2000 farmers,cooperative agro-industrielle de marmela,Other,marmelade,Asosyasyon Plantè Kafe Krètapen (APCAP) ;Asosyasyon plantè Kafe Basen (APKBA);Asosyasyon Plantè Kafe,85,58.96696,Specialty Coffee Association,Myriam Kaplan-Pasternak,Other,Other,6.92,6.75,7.08,7.17,7.33,6.67,10.0,5.33,8.67,6.42,72.33,0.08,1,0.0,other,0
1298,Costa Rica,several,several,santa laura exportadora de cafe s.l.e.c. s.a.,occidental,Beneficio la Eva S.A.,250,1.0,Specialty Coffee Association of Costa Rica,Santa Laura Exportadora de Cafe S.L.E.C. S.A.,Caturra,Washed / Wet,6.33,6.5,6.33,6.83,6.33,6.5,10.0,6.67,10.0,6.25,71.75,0.11,0,0.0,green,7
1299,Mexico,la vuelta,"mazatepec, tlatlauquitepec, puebla",cafe colonial de tlatlauquitepec,tlatlauquitepec,JOSÉ ARMANDO NORBERTO BORZANI LEMINI,10,1.0,AMECAFE,JOSE ARMANDO NORBERTO BORZANI LEMINI,Mundo Novo,Washed / Wet,6.92,6.92,6.92,6.92,7.17,7.0,10.0,2.67,10.0,6.58,71.08,0.12,4,0.0,green,24
1300,Mexico,la morena,"tlamatoca, hutusco, ver.",Other,veracruz,RICARDO AARON SAMPIERI MARINI,25,1.0,AMECAFE,RICARDO AARON SAMPIERI MARINI,Bourbon,Washed / Wet,6.5,6.67,6.42,7.17,7.33,6.5,8.0,6.0,10.0,6.42,71.0,0.11,0,0.0,green,0
1301,Mexico,various,f.i.e.c.h.,globus coffee,"sierra norte yajalon, chiapas",various small producers,280,2.0,Specialty Coffee Association,Kurt Kappeli,Typica,Washed / Wet,6.92,7.0,6.83,6.92,7.42,6.92,6.0,6.0,10.0,6.75,70.75,0.12,0,0.0,green,1
1302,Brazil,Other,copag,volcafe ltda.,cerrado,Other,305,59.0,Brazil Specialty Coffee Association,Volcafe Ltda. - Brasil,Other,Natural / Dry,7.0,7.0,6.83,7.0,7.33,6.83,6.0,6.0,10.0,6.67,70.67,0.11,0,1.0,green,55
1303,Honduras,cerro bueno,cadexsa,cadexsa,marcala,Omar Acosta,275,1.0,Instituto Hondureño del Café,CADEXSA,Catuai,Washed / Wet,6.67,6.5,6.17,6.67,6.83,6.17,8.0,8.0,8.0,6.33,69.33,0.1,0,0.0,green,4
1304,Honduras,cerro bueno,cadexsa,cadexsa,marcala,Omar Acosta,275,1.0,Instituto Hondureño del Café,CADEXSA,Catuai,Washed / Wet,7.0,6.17,6.17,6.67,6.5,6.17,8.0,8.0,8.0,6.5,69.17,0.1,0,0.0,green,3
1305,Honduras,cerro bueno,cadexsa,cadexsa,marcala,Omar Acosta,275,1.0,Instituto Hondureño del Café,CADEXSA,Catuai,Washed / Wet,7.0,6.33,6.17,6.5,6.67,6.17,8.0,8.0,8.0,6.33,69.17,0.1,0,0.0,green,4
1306,Mexico,el centenario,"la esperanza, municipio juchique de ferrer, veracruz",terra mia,juchique de ferrer,JUAN CARLOS GARCÍA LOPEZ,12,1.0,AMECAFE,JUAN CARLOS GARCIA LOPEZ,Bourbon,Washed / Wet,7.08,6.83,6.25,7.42,7.25,6.75,10.0,0.0,10.0,6.75,68.33,0.11,0,0.0,other,20
1307,Other,200 farms,coeb koperativ ekselsyo basen (350 members),haiti coffee,"department d'artibonite , haiti",COEB Koperativ Ekselsyo Basen,1,2.0,Specialty Coffee Association,Myriam Kaplan-Pasternak,Typica,Natural / Dry,6.75,6.58,6.42,6.67,7.08,6.67,9.33,6.0,6.0,6.42,67.92,0.14,8,0.0,blue-green,16
1308,Nicaragua,finca las marías,beneficio atlantic condega,exportadora atlantic s.a,jalapa,Teófilo Narváez,550,69.0,Instituto Hondureño del Café,"Exportadora Atlantic, S.A.",Caturra,Other,7.25,6.58,6.33,6.25,6.42,6.08,6.0,6.0,6.0,6.17,63.08,0.13,1,0.0,green,5
1309,Guatemala,finca el limon,beneficio serben,unicafe,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Catuai,Washed / Wet,7.5,6.67,6.67,7.67,7.33,6.67,8.0,1.33,1.33,6.67,59.83,0.1,0,0.0,green,4
1310,Honduras,los hicaques,cigrah s.a de c.v.,cigrah s.a de c.v,comayagua,Reinerio Zepeda,275,69.0,Instituto Hondureño del Café,Bismarck Castro,Caturra,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0,0.0,green,2
1311,Colombia,Finca El Paraiso,Finca El Paraiso,Coffee Quality Union,"Piendamo,Cauca",Diego Samuel Bermudez,1,35.0,Japan Coffee Exchange,Coffee Quality Union,Other,Other,8.58,8.5,8.42,8.58,8.25,8.42,10.0,10.0,10.0,8.58,89.33,0.11,0,0.0,green,3
1312,Taiwan,Royal Bean Geisha Estate,Royal Bean Geisha Estate,Taiwan Coffee Laboratory,Chiayi,曾福森,1,80.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Washed / Wet,8.5,8.5,7.92,8.0,7.92,8.25,10.0,10.0,10.0,8.5,87.58,0.11,0,0.0,blue-green,0
1313,Other,OKLAO coffee farms,oklao coffee processing plant,Taiwan Coffee Laboratory,Laos Borofen Plateau,WU TAO CHI,19,25.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,Java,Other,8.33,8.42,8.08,8.17,7.92,8.17,10.0,10.0,10.0,8.33,87.42,0.11,0,0.0,yellow,2
1314,Costa Rica,La Cumbre,La Montana Tarrazu MIll,Coffee Quality Union,"Los Santos,Tarrazu",Santa Maria de Dota,1,22.0,Japan Coffee Exchange,Coffee Quality Union,Gesha,Washed / Wet,8.08,8.17,8.17,8.25,8.17,8.08,10.0,10.0,10.0,8.25,87.17,0.11,0,0.0,green,0
1315,Colombia,Finca Santuario,Finca Santuario,Coffee Quality Union,"Popayan,Cauca",Camilo Merizalde,2,24.0,Japan Coffee Exchange,Coffee Quality Union,Other,Other,8.33,8.33,8.08,8.25,7.92,7.92,10.0,10.0,10.0,8.25,87.08,0.11,0,2.0,yellow-green,2
1316,Guatemala,La Colina,Dinámica Café,Taiwan Coffee Laboratory,Chimaltenango,Emilio Antonio Medina Garcia,5,30.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Washed / Wet,8.33,8.33,8.25,7.83,7.83,8.17,10.0,10.0,10.0,8.25,87.0,0.11,0,0.0,green,2
1317,Taiwan,野牡丹咖啡莊園 Melastoma Coffee Estate,野牡丹咖啡,Taiwan Coffee Laboratory,Chiayi,黃保錫,1,27.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Washed / Wet,8.33,8.17,8.08,8.0,7.83,8.25,10.0,10.0,10.0,8.25,86.92,0.11,0,0.0,green,0
1318,Taiwan,七彩琉璃咖啡莊園 Chi Tsai Liu Li Ecological Farm,七彩琉璃咖啡莊園,Taiwan Coffee Laboratory,Chiayi,莊家榮,1,90.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,Other,Natural / Dry,8.25,8.25,8.17,8.0,7.92,8.08,10.0,10.0,10.0,8.08,86.75,0.11,0,0.0,yellow-green,1
1319,Taiwan,亮軒咖啡莊園 Liang Xuan Coffee Farm,亮軒咖啡莊園,Taiwan Coffee Laboratory,Chiayi,鍾旭亮,1,30.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Washed / Wet,8.08,8.08,8.25,8.08,7.92,8.0,10.0,10.0,10.0,8.25,86.67,0.11,0,0.0,green,0
1320,"Tanzania, United Republic Of",MASHIMA AMCOS,GOURMET COFFEE MILL,DORMAN (T) LIMITED,KILIMANJARO,DORMAN (T) LIMITED,320,60.0,Kenya Coffee Traders Association,Gilbert Maina,Bourbon,Washed / Wet,8.08,8.17,8.08,8.17,8.0,8.0,10.0,10.0,10.0,8.0,86.5,0.11,0,0.0,green,0
1321,Ethiopia,TADE GG,Moledo社　委託精選場,"Marubeni corp.,",Guji,Tesfaye Bekele Degaga,10,30.0,Japan Coffee Exchange,ERI ASAEDA,Ethiopian Heirlooms,Natural / Dry,8.08,8.25,8.0,8.08,7.92,7.92,10.0,10.0,10.0,8.0,86.25,0.11,0,1.0,green,1
1322,Guatemala,Karen Acajabon Coffee Farm,Cafetoland,Taiwan Coffee Laboratory,Acatenango,Karen Acajabon,5,15.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Full Sweet Coffee,Gesha,Natural / Dry,8.08,8.0,8.0,7.75,8.25,8.17,10.0,10.0,10.0,8.0,86.25,0.11,0,0.0,brown,1
1323,Taiwan,古峰咖啡莊園 Goodfun Coffee Farm,古峰咖啡莊園,Taiwan Coffee Laboratory,Yunlin,賴彥合,1,60.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Goodfun,Gesha,Washed / Wet,8.08,8.0,8.08,8.08,8.0,8.0,10.0,10.0,10.0,8.0,86.25,0.11,0,0.0,green,0
1324,Ethiopia,Gelana Geisha,Dry Mill or Hulling Facility,Kerchanshe Trading PLC,Guji,Kerchanshe,40,60.0,METAD Agricultural Development plc,Isreal Degefa,Gesha,Natural / Dry,7.67,8.17,8.0,8.33,8.0,8.0,10.0,10.0,10.0,8.0,86.17,0.11,0,3.0,yellow-green,2
1325,Colombia,La Gaitania,La Gaitania,Taiwan Coffee Laboratory,tolima,Josue Enciso Suarez,70,35.0,Taiwan Coffee Laboratory 台灣咖啡研究室,PeiHsun Lin,Caturra,Washed / Wet,8.08,8.0,8.08,7.92,8.08,8.0,10.0,10.0,10.0,8.0,86.17,0.11,0,0.0,green,0
1326,Taiwan,青葉咖啡莊園,青葉咖啡莊園,Taiwan Coffee Laboratory,Chiayi,葉世遠,1,60.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Pulped natural / honey,8.17,8.08,8.0,7.92,8.0,7.92,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,green,0
1327,Ethiopia,Halo Bariti Cooprative,Halo Bariti Cooprative,Coffee Quality Union,"Gedeb,Yirgacheffe,Sidamo",Halo Bariti Cooprative,8,5.0,Japan Coffee Exchange,Coffee Quality Union,Other,Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,10.0,10.0,10.0,8.08,86.08,0.11,0,2.0,green,2
1328,Taiwan,東璧咖啡莊園,yes,Dongbi coffee,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",陳景立,5,2.0,Blossom Valley International宸嶧國際,Dongbi,Gesha,Natural / Dry,8.0,8.17,8.0,7.92,7.92,7.92,10.0,10.0,10.0,8.17,86.08,0.11,0,0.0,yellow-green,0
1329,Taiwan,櫻桃果古坑咖啡莊園,yes,宸嶧國際有限公司,"Gukeng Township, Yunlin County",王瀅惠,8,1.0,Blossom Valley International宸嶧國際,王瀅惠,Gesha,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8.0,10.0,10.0,10.0,8.17,85.92,0.11,0,0.0,brown,1
1330,"Tanzania, United Republic Of",BURKA,GOURMET COFFEE MILL,DORMAN (T) LIMITED,Arusha,DORMAN (T) LIMITED,200,30.0,Kenya Coffee Traders Association,Gilbert Maina,Bourbon,Washed / Wet,8.17,8.0,7.92,7.92,8.17,7.75,10.0,10.0,10.0,7.92,85.83,0.11,0,0.0,green,0
1331,Guatemala,Finca Vista Hermosa,El Vergel,Taiwan Coffee Laboratory,"Guatemala, Fraijanes, Santa Rosa",Fredy Orantes,8,30.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Carlos Pascual - 潘仕杰,Gesha,Natural / Dry,8.0,7.92,8.08,7.92,7.75,8.0,10.0,10.0,10.0,8.08,85.75,0.11,0,0.0,yellow,0
1332,Taiwan,仲大叔咖啡莊園Uncle Chung.s Coffee Farm,仲大叔咖啡莊園Uncle Chung.s Coffee Farm,Taiwan Coffee Laboratory,卓溪鄉Zhuoxi Township,游婷淯 YU TING YU,1,20.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Yu Ting Yu 游婷淯,Typica,Natural / Dry,8.08,8.0,7.92,7.92,8.0,7.83,10.0,10.0,10.0,7.92,85.67,0.11,0,0.0,green,0
1333,Thailand,Hom Doi,Machines to peel outer skin of the cherry coffee and coffee is dried manually,Lyrose,Chiang Mai,Lisu farmers,2,1.0,FABB Academy of Coffee,Christian Charmette,Catimor,Pulped natural / honey,7.67,8.0,7.83,8.0,8.08,8.0,10.0,10.0,10.0,8.08,85.67,0.11,0,0.0,brown,5
1334,Colombia,El Diamante,El Diamante,Coffee Quality Union,Quindio,Farm Bedoya Arango,6,5.0,Japan Coffee Exchange,Coffee Quality Union,Other,Other,8.08,8.0,7.83,8.17,7.75,7.83,10.0,10.0,10.0,8.0,85.67,0.11,0,0.0,brown,2
1335,Taiwan,永舜咖啡莊園,永舜咖啡莊園,Taiwan Coffee Laboratory,Yunlin,蘇甘永,4,50.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Washed / Wet,7.83,8.0,7.92,8.0,8.0,7.92,10.0,10.0,10.0,7.92,85.58,0.11,0,0.0,blue-green,0
1336,Brazil,Fazenda Recreio,Dry mill,"WIT wealth, investments & trust",Região Vulcânica,Diogo T. Dias de Macedo,25,60.0,Brazil Specialty Coffee Association,Andre Clark,Other,Pulped natural / honey,7.83,8.08,7.83,7.92,8.0,7.83,10.0,10.0,10.0,8.0,85.5,0.11,2,0.0,green,3
1337,Taiwan,鄒築園ZouZhouYuan,鄒築園ZouZhouYuan,Taiwan Coffee Laboratory,Chiayi,方政倫,1,100.0,Taiwan Coffee Laboratory 台灣咖啡研究室,"Fang, Cheng Lun 方政倫",Gesha,Natural / Dry,7.92,7.92,8.0,7.92,7.83,7.92,10.0,10.0,10.0,8.0,85.5,0.11,0,0.0,green,2
1338,Taiwan,嵩岳咖啡莊園,嵩岳咖啡莊園,Taiwan Coffee Laboratory,Yunlin,郭志豪,1,90.0,Taiwan Coffee Laboratory 台灣咖啡研究室,"Jhih Hao,GUO 郭志豪",Gesha,Natural / Dry,8.17,8.08,7.92,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.5,0.11,0,0.0,green,0
1339,Taiwan,他扶芽有機農園,他扶芽有機農園,Taiwan Coffee Laboratory,Chiayi,陳清龍,1,85.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Natural / Dry,8.0,8.0,8.0,7.92,7.75,7.92,10.0,10.0,10.0,7.92,85.5,0.11,0,0.0,blue-green,0
1340,United States (Hawaii),Hokukano Ranch,Kona Coffee & Tea,Taiwan Coffee Laboratory,Kona,Kona Hills LLC,80,15.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Washed / Wet,8.0,7.92,8.0,7.83,7.67,8.0,10.0,10.0,10.0,8.0,85.42,0.11,0,0.0,green,0
1341,Taiwan,鄉庭有機農場Siang-Ting Organic Farm,鄉庭有機農場Siang-Ting Organic Farm,Taiwan Coffee Laboratory,壽豐鄉Shoufeng Township,張進義Zhang Jin-Yi,3,48.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Zhang Jin Yi 張進義,Typica,Washed / Wet,8.0,8.0,7.83,7.83,7.75,7.92,10.0,10.0,10.0,8.08,85.42,0.11,0,0.0,blue-green,0
1342,Taiwan,鄉庭有機農場Siang-Ting Organic Farm,鄉庭有機農場Siang-Ting Organic Farm,Taiwan Coffee Laboratory,壽豐鄉Shoufeng Township,張進義Zhang Jin-Yi,3,50.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Zhang Jin Yi 張進義,Typica,Washed / Wet,7.92,8.0,7.83,7.92,7.83,7.83,10.0,10.0,10.0,8.0,85.33,0.11,0,0.0,green,0
1343,Taiwan,金讚咖啡農莊園(Jinzan Coffee Estate),金讚咖啡農莊園(Jinzan Coffee Estate),Taiwan Coffee Laboratory,"Dongshan Dist., Tainan City","葉明讚 (YE,MING-ZAN)",4,5.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Washed / Wet,8.08,8.17,7.67,7.83,7.67,7.92,10.0,10.0,10.0,8.0,85.33,0.11,0,0.0,green,0
1344,Ethiopia,Eshetu farm,Lata Agri export,Alo Coffee,Oromia,Eshetu,320,60.0,METAD Agricultural Development plc,Tamiru Tadesse Tesema,Ethiopian Heirlooms,Washed / Wet,7.67,7.83,7.83,8.0,8.0,8.0,10.0,10.0,10.0,8.0,85.33,0.11,0,2.0,green,3
1345,Ethiopia,Uraga Bisrat washing station,dry mill,TADESSE DESTA IMPORT & EXPORT,Southern Ethiopia Guji,Bisrat Melaku,320,60.0,METAD Agricultural Development plc,Tadessa Desta Amene,Ethiopian Heirlooms,Natural / Dry,8.0,8.08,8.0,8.0,7.67,7.75,10.0,10.0,10.0,7.83,85.33,0.11,0,3.0,yellow-green,4
1346,Ethiopia,YHAENU PLC FARM,GUJI COFFEE EXPORT P.L.C,yhaenu plc,OROMIA,YHAENU PLC,320,19200.0,METAD Agricultural Development plc,YHAENU PLC,Ethiopian Heirlooms,Washed / Wet,7.92,7.75,7.83,8.17,8.0,7.75,10.0,10.0,10.0,7.83,85.25,0.11,0,1.0,green,1
1347,Taiwan,卓武山咖啡農場,卓武山咖啡農場,Taiwan Coffee Laboratory,Chiayi,許定燁,1,100.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Hsu Ting Yey許定燁,Gesha,Washed / Wet,8.0,7.92,7.83,7.92,7.83,7.83,10.0,10.0,10.0,7.92,85.25,0.11,0,0.0,blue-green,0
1348,Taiwan,御香咖啡園 YU SIANG Coffee Estate,御香咖啡園 YU SIANG Coffee Estate,Taiwan Coffee Laboratory,"Dongshan Dist., Tainan City","陳建源(CHEN, JIAN-YUAN)",20,5.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Pulped natural / honey,8.25,8.08,7.83,7.75,7.67,7.75,10.0,10.0,10.0,7.92,85.25,0.11,0,0.0,green,0
1349,Kenya,Small Holder,NKG,IBERO (K) LTD,Central,Small Holder,300,60.0,Kenya Coffee Traders Association,Judith Murimi,SL28,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8.0,10.0,10.0,10.0,8.0,85.25,0.11,0,0.0,green,1
1350,Taiwan,皇庭咖啡莊園,yes,宸嶧國際有限公司,"Caoling , Gukeng Township, Yunlin County",陳榮豐,20,1.0,Blossom Valley International宸嶧國際,CHEN RONG FENG,Gesha,Washed / Wet,7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,8.0,85.17,0.11,0,0.0,blue-green,0
1351,Taiwan,花蓮縣秀林鄉特用作物（咖啡）產銷第一班Agriculture Production and Marketing Groups of Hualien Shlin township special crop (coffee) 1st class,花蓮縣秀林鄉特用作物（咖啡）產銷第一班Agriculture Production and Marketing Groups of Hualien Shlin township special crop (coffee) 1st class,Taiwan Coffee Laboratory,秀林鄉Show Linxia Township,李志祥 Li Zhi-xia,1,10.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Natural / Dry,8.0,7.92,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.92,85.08,0.11,0,0.0,brown,0
1352,Taiwan,八一高地,乾燥機、脫殼機,茂泰生技股份有限公司,台灣屏東,陳科翰,1,2.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Ethan Lee 李宗儒,Typica,Washed / Wet,8.0,8.08,7.67,7.75,7.92,7.83,10.0,10.0,10.0,7.83,85.08,0.11,0,0.0,green,0
1353,Taiwan,香夾蘭莊園,香夾蘭莊園,Taiwu Coffee Cooperative,苗栗縣,黃簡秋蘭,1,50.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwu,Gesha,Washed / Wet,8.0,7.92,7.67,8.0,7.75,7.83,10.0,10.0,10.0,7.92,85.08,0.11,0,0.0,yellow,5
1354,Uganda,Gideon Kule,Dry Mill,Kyagalanyi Coffee Limited,Rwenzori,Kyagalanyi coffee limited,320,60.0,Uganda Coffee Development Authority,KYAGALANYI COFFEE LIMITED,SL14,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.92,10.0,10.0,10.0,7.92,85.0,0.11,0,0.0,green,1
1355,Taiwan,愛姬咖啡莊園iGfarm,愛姬咖啡莊園iGfarm,Taiwan Coffee Laboratory,壽豐鄉Shoufeng Township,劉孟宗 LIU MENG TSUNG,1,50.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Liu Meng Tsung劉孟宗,Typica,Other,7.92,8.0,7.92,8.0,7.58,7.75,10.0,10.0,10.0,7.83,85.0,0.11,0,0.0,green,0
1356,Taiwan,青山坪咖啡農場,青山坪咖啡農場,Taiwan Coffee Laboratory,Yunlin,王清連,6,50.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Natural / Dry,8.17,8.08,7.83,7.67,7.67,7.75,10.0,10.0,10.0,7.83,85.0,0.11,0,0.0,yellow-green,0
1357,Guatemala,varias fincas,Beneficio Pastores,"Peter Schoenfeld, S.A.",Antigua,Varios productores,600,30.0,Asociacion Nacional Del Café,Yesica Alejandra Martìnez Vàsquez,Caturra,Washed / Wet,7.67,8.08,7.67,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.0,0.11,0,1.0,green,1
1358,Guatemala,PEÑA BLANCA,BENEFICIO LAS AMERICAS,"OLAM AGRO GUATEMALA, S.A.",Santa Rosa,PABLO CHUY,632,30.0,Asociacion Nacional Del Café,Yesica Alejandra Martìnez Vàsquez,Catuai,Washed / Wet,7.67,8.0,7.75,7.92,8.0,7.83,10.0,10.0,10.0,7.83,85.0,0.11,0,0.0,green,4
1359,Guatemala,san francisco cotzal,"inmobiliaria e inversiones dos mil, s.a.","inmobiliaria e inversiones dos mil, s.a.",quiche,san francisco cotzal,275,69.0,Asociacion Nacional Del Café,Angelica Paola Citan Lopez,Caturra,Washed / Wet,7.83,7.92,7.75,8.0,7.75,7.75,10.0,10.0,10.0,7.92,84.92,0.11,0,3.0,green,1
1360,Taiwan,六曲窩,六曲窩,Taiwu Coffee Cooperative,新竹縣,黃俊淦,1,13.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwu,Typica,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10.0,10.0,10.0,7.83,84.92,0.11,0,0.0,green,2
1361,Taiwan,北平山林,北平山林,Taiwu Coffee Cooperative,新竹縣,戴禎男,1,4.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwu,Yellow Bourbon,Natural / Dry,8.0,8.0,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.92,84.83,0.11,0,0.0,brown,0
1362,Indonesia,PT Indo CafCo North Sumatera,PT Indo CafCo,InterAmerican Coffee,Aceh Tengah,PT Indo CafCo North Sumatera,320,60.0,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),Charles Umeano,Catimor,Other,7.83,7.92,7.75,7.83,7.83,7.83,10.0,10.0,10.0,7.83,84.83,0.11,0,3.0,blue-green,2
1363,Peru,Ruya Yayu Farm,no.,Taiwan Coffee Laboratory,Villa Rica,Ruya Yayu,3,5.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Washed / Wet,8.0,8.0,7.83,7.83,7.58,7.83,10.0,10.0,10.0,7.75,84.83,0.11,0,0.0,green,0
1364,"Tanzania, United Republic Of",IYENGA,CITY COFFEE LTD,VOLCAFE/TaylorWinch Tanzania Ltd,Mbeya,IYENGA AMCOS,620,30.0,Kenya Coffee Traders Association,Balam Hinyula,Bourbon,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10.0,10.0,10.0,7.83,84.83,0.11,0,0.0,green,0
1365,Taiwan,優遊吧斯瑪翡咖啡莊園,優遊吧斯瑪翡咖啡莊園,Taiwan Coffee Laboratory,Chiayi,鄭虞坪,1,25.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Natural / Dry,7.83,7.83,7.67,7.67,7.83,8.0,10.0,10.0,10.0,8.0,84.83,0.11,0,0.0,green,0
1366,Taiwan,森悅高峰咖啡莊園,森悅高峰咖啡莊園,Taiwan Coffee Laboratory,Nantou,吳振宏,1,30.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Washed / Wet,7.67,7.92,7.92,7.83,7.75,7.83,10.0,10.0,10.0,7.83,84.75,0.11,0,0.0,green,0
1367,Brazil,Fazenda Guariroba,Wet-Hulling,Mirai Seeds Corp.,Campo das Vertentes,Homero Paiva,5,36.0,Japan Coffee Exchange,Marcelo Itoh,Yellow Bourbon,Other,7.83,7.92,7.75,7.92,7.67,7.83,10.0,10.0,10.0,7.83,84.75,0.11,0,1.0,green,5
1368,Other,La Santa,La Santa,Panamerican Coffee Trading,Boquete,La Santa,200,30.0,Specialty Coffee Association of Costa Rica,Rodrigo Soto,Catuai,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,10.0,10.0,10.0,7.83,84.75,0.11,0,1.0,blue-green,5
1369,Taiwan,嵐雲綠海咖啡,乾燥機、脫殼機,茂泰生技股份有限公司,台灣屏東,卓榮華,1,2.0,Taiwan Coffee Laboratory 台灣咖啡研究室,Ethan Lee 李宗儒,Yellow Bourbon,Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,84.75,0.11,0,0.0,blue-green,0
